"","id","mean_fullfit","mean_bootstrap","median","CIlo","CIhi","Q1","Q3"
"114","NUM_EXIST_WBC_ACCTS_18 x DRIVERS_LICENCE_IND_2_0",0.0105,0.00447,0.00474,0.00182,0.0066,0.00361,0.00537
"115","NUM_EXIST_WBC_ACCTS_13",-0.01176,-0.0041,-0.00437,-0.01124,0.00133,-0.00654,-0.00165
"116","SECURED_LOAN_PURPOSE_CODE_4 x SEC_FLAG",0.00027,0.00384,0.00026,0,0.01488,0,0.00641
"117","NUM_APPS_0 x LN_PROTECTION_INS_IND_0",-0.00644,-0.00363,-0.00212,-0.01117,0,-0.00649,0
"118","NUM_APPS_0 x LN_PROTECTION_INS_IND_1",0.00644,0.00363,0.00212,0,0.01117,0,0.00649
"119","NUM_EXIST_WBC_ACCTS_1 x NA",-0.07688,-0.00355,-0.00307,-0.01099,0,-0.00453,-0.00151
"120","TIME_WITH_BANK_1",-0.00318,-0.00354,-0.00362,-0.00411,-0.00288,-0.00381,-0.00334
"121","NUM_EXIST_WBC_ACCTS_19 x DRIVERS_LICENCE_IND_2_1",-0.00494,-0.00353,-0.00364,-0.00557,-0.00126,-0.00425,-0.00308
"122","NUM_EXIST_WBC_ACCTS_19 x DRIVERS_LICENCE_IND_2_0",0.00494,0.00353,0.00364,0.00126,0.00557,0.00308,0.00425
"123","NUM_EXIST_WBC_ACCTS_23 x DRIVERS_LICENCE_IND_2_1",-0.00452,-0.00344,-0.00355,-0.00554,-0.00121,-0.00407,-0.003
"124","NUM_EXIST_WBC_ACCTS_23 x DRIVERS_LICENCE_IND_2_0",0.00452,0.00344,0.00355,0.00121,0.00554,0.003,0.00407
"125","NUM_EXIST_WBC_ACCTS_21 x DRIVERS_LICENCE_IND_2_1",-0.0046,-0.00342,-0.00356,-0.00533,-0.00124,-0.00405,-0.00301
"126","NUM_EXIST_WBC_ACCTS_21 x DRIVERS_LICENCE_IND_2_0",0.0046,0.00342,0.00356,0.00124,0.00533,0.00301,0.00405
"127","NUM_EXIST_WBC_ACCTS_28 x DRIVERS_LICENCE_IND_2_1",-0.00444,-0.00341,-0.00351,-0.00544,-0.00125,-0.00404,-0.00299
"128","NUM_EXIST_WBC_ACCTS_28 x DRIVERS_LICENCE_IND_2_0",0.00444,0.00341,0.00351,0.00125,0.00544,0.00299,0.00404
"129","NUM_EXIST_WBC_ACCTS_24 x DRIVERS_LICENCE_IND_2_1",-0.00427,-0.00336,-0.00347,-0.00528,-0.0012,-0.00404,-0.00295
"130","NUM_EXIST_WBC_ACCTS_24 x DRIVERS_LICENCE_IND_2_0",0.00427,0.00336,0.00347,0.0012,0.00528,0.00295,0.00404
"131","NUM_EXIST_WBC_ACCTS_25 x DRIVERS_LICENCE_IND_2_1",-0.00423,-0.00336,-0.00348,-0.00528,-0.00121,-0.00404,-0.00296
"132","NUM_EXIST_WBC_ACCTS_25 x DRIVERS_LICENCE_IND_2_0",0.00423,0.00336,0.00348,0.00121,0.00528,0.00296,0.00404
"133","NUM_EXIST_WBC_ACCTS_26 x DRIVERS_LICENCE_IND_2_1",-0.00424,-0.00336,-0.00348,-0.00529,-0.00121,-0.00403,-0.00296
"134","NUM_EXIST_WBC_ACCTS_26 x DRIVERS_LICENCE_IND_2_0",0.00424,0.00336,0.00348,0.00121,0.00529,0.00296,0.00403
"135","NUM_EXIST_WBC_ACCTS_27 x DRIVERS_LICENCE_IND_2_1",-0.00416,-0.00334,-0.00346,-0.00527,-0.0012,-0.00401,-0.00294
"136","NUM_EXIST_WBC_ACCTS_27 x DRIVERS_LICENCE_IND_2_0",0.00416,0.00334,0.00346,0.0012,0.00527,0.00294,0.00401
"137","NUM_EXIST_WBC_ACCTS_15 x DRIVERS_LICENCE_IND_2_1",-0.00344,-0.00332,-0.00312,-0.00605,-0.00085,-0.00436,-0.00198
"138","NUM_EXIST_WBC_ACCTS_15 x DRIVERS_LICENCE_IND_2_0",0.00344,0.00332,0.00312,0.00085,0.00605,0.00198,0.00436
"139","NUM_BUR_ENQ_L6M_1 x NUM_EXIST_WBC_MCD_ACCTS",-0.01192,-0.00326,-0.00193,-0.00997,0,-0.00552,0
"140","NUM_EXIST_WBC_ACCTS_4 x LN_PROTECTION_INS_IND_0",-0.0254,-0.00322,-8e-05,-0.01302,0.00021,-0.00451,0
"141","NUM_EXIST_WBC_ACCTS_4 x LN_PROTECTION_INS_IND_1",0.0254,0.00322,8e-05,-0.00021,0.01302,0,0.00451
